时间,安值test,安值test2
14:41:28,171004425.74230266,109545046.88975799
14:41:17,171003304.3923027,109544130.009758
14:41:07,171003673.09230274,109544838.129758
14:40:57,171004608.09230268,109544448.26975802
14:40:47,171004579.2023027,109544122.529758
14:40:36,171003980.65230268,109544677.30975798
14:40:26,171006338.18230268,109543747.02975798
14:40:16,171006230.05230266,109544365.39975798
14:40:06,171003435.32230264,109544508.519758
14:39:55,171005471.11230263,109544709.859758
14:39:45,171004349.80230263,109544455.15975796
14:39:35,171004591.72230262,109544610.09975795
14:39:25,171004405.95230258,109545898.78975797
14:39:14,171003623.75230262,109545636.639758
14:39:04,171003505.12230265,109546349.16975796
14:38:54,171005833.70230263,109547037.60975796
14:33:59,171006755.60230273,109554658.38975799
14:33:49,171006685.28230268,109554561.849758
14:33:39,171008046.27230272,109554421.429758
14:33:29,171006667.07230273,109554699.289758
14:33:17,171007653.66230273,109554686.729758
14:33:07,171008065.42230275,109555262.27975799
14:33:06,171008065.42230275,109555262.279758
14:31:43,171005088.9823027,109554189.82975802
14:31:33,171005262.9823027,109554244.219758
14:31:23,171005362.30230272,109553913.07975802
14:31:23,171005362.30230272,109553913.07975802
14:28:46,171007179.3523027,109552855.23975798
14:28:35,171006368.81230268,109552746.569758
14:28:25,171004914.92230272,109552711.66975802
14:28:25,171004914.92230272,109552711.66975802
14:28:14,171005059.45230272,109552660.46975803
14:28:14,171005059.45230272,109552660.46975803
14:26:33,171006309.01230276,109555370.93975806
14:26:23,171006984.68230277,109555296.46975806
14:26:12,171007518.41230276,109556456.52975808
14:26:12,171007518.41230276,109556456.52975808
14:25:11,171007332.97230276,109557889.38975808
14:25:01,171008315.95230278,109558783.99975806
14:24:42,171008378.45230278,109558474.64975809
14:24:32,171008453.83230278,109558402.94975808
14:24:31,171008029.58230278,109558656.06975806
14:19:52,171007419.13230273,109559779.959758
14:19:42,171008827.68230274,109559693.489758
14:19:31,171008693.70230275,109558942.36975804
14:19:21,171008931.31230274,109558549.09975806
14:19:11,171007211.34230274,109558931.01975805
14:19:00,171007208.42230272,109559612.52975808
14:19:00,171007208.42230272,109559612.52975808
14:13:37,171006897.62230268,109558717.00975811
14:13:27,171006919.22230268,109559521.36975811
14:13:17,171006853.74230272,109559188.3097581
14:13:06,171007243.64230272,109558990.07975812
14:12:56,171005963.50230268,109560607.43975808
14:12:45,171006881.34230268,109559896.61975808
14:12:35,171008170.0223027,109560021.72975808
14:12:25,171008298.13230267,109560174.22975808
14:12:14,171007287.12230265,109559337.96975806
14:12:04,171006333.54230267,109560119.93975806
14:11:48,171007044.57230267,109559442.11975804
14:11:30,171008347.18230265,109559878.79975805
14:11:20,171008014.08230266,109560117.30975804
14:11:10,171008544.65230268,109559890.82975803
14:10:59,171009293.90230268,109560700.43975803
14:10:49,171008658.57230267,109560597.56975806
14:10:39,171008661.65230268,109560771.72975804
14:10:23,171006603.67230266,109561319.50975804
14:09:50,171006730.7923027,109561548.74975803
14:08:50,171008152.00230274,109561405.34975804
14:07:50,171007084.42230266,109556627.53975806
14:06:49,171006693.19230264,109556160.03975806
14:06:49,171006722.68230265,109556010.77975808
14:06:12,171005273.85230264,109554817.05975804
14:06:11,171005273.85230264,109554817.05975804
14:05:22,171005123.22230268,109553445.07975802
14:05:22,171004116.35230267,109554427.32975802
14:05:04,171004023.22230268,109552782.30975804
14:04:03,171003823.2423027,109552095.22975804
14:03:03,171004173.75230268,109550706.52975804
14:02:03,171003730.72230273,109549076.32975803
14:01:03,171002218.63230273,109550358.78975806
14:01:02,171002218.63230273,109550358.78975806
14:00:43,171003165.94230267,109549291.06975809
13:59:43,171002759.23230276,109550041.90975806
13:58:42,171003153.8523027,109550340.88975812
13:58:42,171003153.8523027,109550340.88975812
13:57:35,171003036.91230276,109550873.44975816
13:57:35,171003036.91230276,109550873.44975816
13:56:30,171004490.86230272,109553530.26975816
13:55:24,171004315.20230272,109556199.6097582
13:54:24,171003979.86230278,109555107.76975816
13:53:23,171005155.35230282,109555533.14975816
13:52:22,171003755.07230276,109554395.30975816

