产品名,时间,净值
安值test2,08:50:00,108695035.92809148
安值test2,13:11:36,109631381.94864714
安值test2,13:11:38,109631381.94864714
安值test2,13:11:39,109632620.98864716
安值test2,13:11:40,109632620.98864716
安值test2,13:11:41,109632531.82864714
安值test2,13:11:43,109632531.82864714
安值test2,13:11:44,109632620.98864712
安值test2,13:11:45,109632620.98864712
安值test2,13:11:46,109632620.98864712
安值test2,13:11:48,109631969.40864712
安值test2,13:11:49,109631969.40864712
安值test2,13:11:50,109632618.78864712
安值test2,13:11:52,109632618.78864712
安值test2,13:11:53,109632387.82864712
安值test2,13:11:54,109632387.82864712
安值test2,13:11:55,109632387.82864712
安值test2,13:11:57,109632068.68864714
安值test2,13:11:58,109632068.68864714
安值test2,13:11:59,109632166.80864713
安值test2,13:12:00,109632166.80864713
安值test2,13:12:02,109631103.82864712
安值test2,13:12:03,109631103.82864712
安值test2,13:12:05,109631103.82864712
安值test2,13:12:06,109631366.94864713
安值test2,13:12:07,109631366.94864713
安值test2,13:12:08,109632338.34864712
安值test2,13:12:10,109632338.34864712
安值test2,13:12:11,109632823.26864712
安值test2,13:12:12,109632823.26864712
安值test2,13:12:14,109632823.26864712
安值test2,13:12:15,109632338.34864712
安值test2,13:12:16,109632338.34864712
安值test2,13:12:17,109632792.66864713
安值test2,13:12:19,109632792.66864713
安值test2,13:12:20,109634143.32864708
安值test2,13:12:21,109634143.32864708
安值test2,13:12:23,109634143.32864708
安值test2,13:12:24,109634498.82864708
安值test2,13:12:25,109634498.82864708
安值test2,13:12:26,109634170.12864707
安值test2,13:12:28,109634170.12864707
安值test2,13:12:29,109634104.96864712
安值test2,13:12:30,109634104.96864712
安值test2,13:12:32,109634104.96864712
安值test2,13:12:33,109633490.0886471
安值test2,13:12:34,109633490.0886471
安值test2,13:12:35,109633697.8886471
安值test2,13:12:37,109633697.8886471
安值test2,13:12:38,109633086.50864708
安值test2,13:12:39,109633086.50864708
安值test2,13:12:40,109633086.50864708
安值test2,13:12:42,109633247.3086471
安值test2,13:12:43,109633247.3086471
安值test2,13:12:44,109633086.50864708
安值test2,13:12:46,109633086.50864708
安值test2,13:12:47,109632378.20864709
安值test2,13:12:48,109632378.20864709
安值test2,13:12:49,109632378.20864709
安值test2,13:12:51,109633466.14864708
安值test2,13:12:52,109633466.14864708
安值test2,13:12:53,109633925.40864708
安值test2,13:12:54,109633925.40864708
安值test2,13:12:56,109633925.40864708
安值test2,13:12:57,109633466.14864708
安值test2,13:12:58,109633466.14864708
安值test2,13:13:00,109633426.2486471
安值test2,13:13:01,109633426.2486471
安值test2,13:13:02,109633129.3886471
安值test2,13:13:04,109633129.3886471
安值test2,13:13:05,109633100.82864708
安值test2,13:13:06,109633100.82864708
安值test2,13:13:07,109633100.82864708
安值test2,13:13:09,109634154.88864708
安值test2,13:13:10,109634154.88864708
安值test2,13:13:11,109634712.54864708
安值test2,13:13:12,109634712.54864708
安值test2,13:13:14,109634712.54864708
安值test2,13:13:15,109634154.8886471
安值test2,13:13:16,109634154.8886471
安值test2,13:13:18,109633989.0686471
安值test2,13:13:19,109633989.0686471
安值test2,13:13:20,109633575.34864707
安值test2,13:13:21,109633575.34864707
安值test2,13:13:23,109632924.84864707
安值test2,13:13:24,109632924.84864707
安值test2,13:13:25,109632924.84864707
安值test2,13:13:27,109632187.20864709
安值test2,13:13:28,109632187.20864709
安值test2,13:13:29,109631180.74864708
安值test2,13:13:30,109631180.74864708
安值test2,13:13:32,109631180.74864708
安值test2,13:13:33,109632187.20864709
安值test2,13:13:34,109632187.20864709
安值test2,13:13:35,109631322.82864708
安值test2,13:13:37,109631322.82864708
安值test2,13:13:38,109630905.76864707
安值test2,13:13:39,109630905.76864707
安值test2,13:13:40,109630905.76864707
安值test2,13:13:42,109630768.3886471
安值test2,13:13:43,109630768.3886471
安值test2,13:13:44,109630905.76864707
安值test2,13:13:46,109630905.76864707
安值test2,13:13:47,109629931.82864708
安值test2,13:13:48,109629931.82864708
安值test2,13:13:49,109629931.82864708
安值test2,13:13:51,109629185.0686471
安值test2,13:13:52,109629185.0686471
安值test2,13:13:53,109628824.5686471
安值test2,13:13:55,109628824.5686471
安值test2,13:13:56,109629185.0686471
安值test2,13:13:57,109629185.0686471
安值test2,13:13:58,109629185.0686471
安值test2,13:14:00,109628173.1486471
安值test2,13:14:01,109628173.1486471
安值test2,13:14:09,109629280.56864709
安值test2,13:14:10,109629280.56864709
安值test2,13:14:11,109629493.52864708
安值test2,13:14:13,109629493.52864708
安值test2,13:14:14,109629280.56864709
安值test2,13:14:15,109629280.56864709
安值test2,13:14:16,109629280.56864709
安值test2,13:14:18,109629303.58864708
安值test2,13:14:19,109629303.58864708
安值test2,13:14:20,109629019.72864708
安值test2,13:14:22,109629019.72864708
