日期,净值,单位净值,份额,是否估值,净值1,净值1[结],单位净值1,盈亏1,净值2,净值2[结],单位净值2,盈亏2,净值3,净值3[结],单位净值3,盈亏3,盈亏3[收],产品名
2025-04-10,109545046.88975799,,,,,,,,,,,,,,,,,安值test2
2025-04-09,109706100.0,,,,,,,,,,,,,,,,,安值test2
2025-04-08,109706100.74864686,,,,,,,,,,,,,,,,,安值test2
2025-04-07,108695035.92809148,,,,,,,,,,,,,,,,,安值test2
2025-04-04,108734332.64809144,,,,,,,,,,,,,,,,,安值test2
2025-04-03,108734332.64809144,,,,,,,,,,,,,,,,,安值test2
2025-04-02,109024982.16531348,,,,,,,,,,,,,,,,,安值test2
2025-04-01,109416045.78475793,,,,,,,,,,,,,,,,,安值test2
2025-03-31,109242150.4542034,,,,,,,,,,,,,,,,,安值test2
2025-03-28,109410319.66253604,,,,,,,,,,,,,,,,,安值test2
2025-03-27,109626190.34,10.9626,10000000.0,否,109626190.34,109626190.34,10.9626,111479.7,-,-,-,-,114934332.26,114934332.26,11.4934,32567.52,111479.7,安值test2
2025-03-26,109514710.64,10.9515,10000000.0,否,109514710.64,109514710.64,10.9515,-114419.2,-,-,-,-,114901764.74,114861764.74,11.4902,61580.8,-114419.2,安值test2
2025-03-25,109629129.84,10.9629,10000000.0,否,109629129.84,109629129.84,10.9629,32525.2,-,-,-,-,114879096.12,114921432.12,11.4879,-64562.62,209261.74,安值test2
2025-03-21,109417291.92,10.9417,10000000.0,否,109417291.92,109417291.92,10.9417,-67811.4,-,-,-,-,114888906.92,114798906.92,11.4889,86012.96,-67811.4,安值test2
2025-03-20,109485103.32,10.9485,10000000.0,否,109485103.32,109485103.32,10.9485,-42086.22,-,-,-,-,114889630.5,114824798.18,11.489,-19174.04,-95174.04,安值test2
2025-03-18,109512532.86,10.9513,10000000.0,否,109512532.86,109512532.86,10.9513,-33249.8,-,-,-,-,114866884.4,114892884.4,11.4867,-113249.8,-33249.8,安值test2
2025-03-17,109545782.66,10.9546,10000000.0,否,109545782.66,109545782.66,10.9546,-178621.74,-,-,-,-,114953046.38,114939046.38,11.4953,51553.9,-178621.74,安值test2
2025-03-14,109724404.39,10.9724,10000000.0,否,109724404.39,109724404.39,10.9724,136138.36,-,-,-,-,114914404.66,114995087.46,11.4914,-67125.1,223050.54,安值test2
2025-03-12,109453124.47,10.9453,10000000.0,否,109453124.47,109453124.47,10.9453,-15763.14,-,-,-,-,114858949.1,114716643.18,11.4859,71149.04,-15763.14,安值test2
2025-03-04,109363284.25,10.9363,10000000.0,否,109363284.25,109363284.25,10.9363,-30437.34,-,-,-,-,114732406.32,114732515.7,11.4732,-33240.14,-30327.96,安值test2
2025-03-03,109393721.59,10.9394,10000000.0,否,109393721.59,109393721.59,10.9394,161678.28,-,-,-,-,114765755.84,114763755.84,11.4766,11853.92,161678.28,安值test2
2025-02-28,109232043.31,10.9232,10000000.0,否,109232043.31,109232043.31,10.9232,-56851.48,-,-,-,-,114754814.1,114676814.1,11.4755,96972.88,-56851.48,安值test2
2025-02-27,109288894.79,10.9289,10000000.0,否,109288894.79,109288894.79,10.9289,-49190.38,-,-,-,-,114732577.76,114732577.76,11.4733,38809.62,-49190.38,安值test2
2025-02-26,109338085.17,10.9338,10000000.0,否,109338085.17,109338085.17,10.9338,200682.72,-,-,-,-,114692680.32,114736680.32,11.4693,-27317.28,200682.72,安值test2
2025-02-25,109137402.45,10.9137,10000000.0,否,109137402.45,109137402.45,10.9137,-12192.14,-,-,-,-,114674909.78,114604909.78,11.4675,79807.86,-12192.14,安值test2
2025-02-24,109149594.58,10.915,10000000.0,否,109149594.58,109149594.58,10.915,-28240.52,-,-,-,-,114664014.1,114640014.1,11.4664,41935.12,-28240.52,安值test2
2025-02-21,109177835.1,10.9178,10000000.0,否,109177835.1,109177835.1,10.9178,-18447.68,-,-,-,-,114644991.16,114654991.16,11.4645,-8623.32,-18447.68,安值test2
2025-02-20,109196282.78,10.9196,10000000.0,否,109196282.78,109196282.78,10.9196,-23809.12,-,-,-,-,114640351.02,114656351.02,11.464,-87809.12,-23809.12,安值test2
2025-02-19,109220091.9,10.922,10000000.0,否,109220091.9,109220091.9,10.922,225818.66,-,-,-,-,114711072.32,114695072.32,11.4711,37818.66,225818.66,安值test2
2025-02-18,108994273.24,10.8994,10000000.0,否,108994273.24,108994273.24,10.8994,-5794660.62,-,-,-,-,114688165.84,114578165.84,11.4688,187339.38,-5794660.62,安值test2
2025-02-17,114788933.86,11.4789,10000000.0,否,114788933.86,114788933.86,11.4789,5303962.66,-,-,-,-,114609738.64,114751738.64,11.460999999999999,-5765861.7,-414671.69,安值test2
2025-02-14,109484971.2,10.9485,10000000.0,否,109484971.2,109484971.2,10.9485,-13492.54,-,-,-,-,114754512.52,109450059.02,11.4755,-411897.81,0.0,安值test2
2025-02-13,109498463.74,10.9498,10000000.0,否,109498463.74,109498463.74,10.9498,107829.12,-,-,-,-,0.0,109439551.56,0.0,0.0,0.0,安值test2
2025-02-12,109390634.62,10.9391,10000000.0,否,109390634.62,109390634.62,10.9391,108890.42,-,-,-,-,0.0,109315722.44,0.0,0.0,0.0,安值test2
2025-02-11,109281744.2,10.9282,10000000.0,否,109281744.2,109281744.2,10.9282,-364148.56,-,-,-,-,0.0,109622832.02,0.0,0.0,0.0,安值test2
2025-02-10,109645892.76,10.9646,10000000.0,否,109645892.76,109645892.76,10.9646,-5067817.78,-,-,-,-,0.0,114791156.22,0.0,0.0,0.0,安值test2
2025-02-07,114713710.54,11.4714,10000000.0,否,114713710.54,114713710.54,11.4714,87192.8,-,-,-,-,0.0,114969499.08,0.0,0.0,0.0,安值test2
2025-02-05,109778555.33,10.9779,10000000.0,否,109778555.33,109778555.33,10.9779,-52822.45,-,-,-,-,114882306.28,114882306.28,11.4882,-47032.08,-52822.45,安值test2
2025-01-27,109831377.79,10.9831,10000000.0,否,109831377.79,109831377.79,10.9831,-40684.18,-,-,-,-,114929338.36,114927338.36,11.4929,16788.9,-40684.18,安值test2
2025-01-24,109872061.97,10.9872,10000000.0,否,109872061.97,109872061.97,10.9872,28391.2,-,-,-,-,114904759.08,114934759.08,11.4905,-49784.44,28391.2,安值test2
2025-01-23,109843670.77,10.9844,10000000.0,否,109843670.77,109843670.77,10.9844,16364.72,-,-,-,-,114921280.06,114913280.06,11.4921,36359.2,16364.72,安值test2
2025-01-22,109827306.05,10.9827,10000000.0,否,109827306.05,109827306.05,10.9827,-15855.44,-,-,-,-,114891833.04,114893827.52,11.4892,-39849.92,-15855.44,安值test2
2025-01-21,109843161.49,10.9843,10000000.0,否,109843161.49,109843161.49,10.9843,-4845153.94,-,-,-,-,114928595.14,114918595.14,11.4929,-19153.94,-4845153.94,安值test2
2025-01-20,114688315.43,11.4688,10000000.0,否,114688315.43,114688315.43,11.4688,4734928.58,-,-,-,-,114956661.26,115006661.26,11.4957,-4802895.78,28928.58,安值test2
