产品名,时间,净值
安值test,08:50:00,170204479.4623045
安值test,13:11:36,171184240.93897012
安值test,13:11:38,171184240.93897012
安值test,13:11:39,171184297.11897013
安值test,13:11:40,171184297.11897013
安值test,13:11:41,171184499.46897012
安值test,13:11:43,171184499.46897012
安值test,13:11:44,171184297.11897013
安值test,13:11:45,171184297.11897013
安值test,13:11:46,171184297.11897013
安值test,13:11:48,171184521.96897012
安值test,13:11:49,171184521.96897012
安值test,13:11:50,171182146.94897008
安值test,13:11:52,171182146.94897008
安值test,13:11:53,171182197.6789701
安值test,13:11:54,171182197.6789701
安值test,13:11:55,171182197.6789701
安值test,13:11:57,171181927.8489701
安值test,13:11:58,171181927.8489701
安值test,13:11:59,171183218.51897007
安值test,13:12:00,171183218.51897007
安值test,13:12:02,171181927.8489701
安值test,13:12:03,171181927.8489701
安值test,13:12:05,171181927.8489701
安值test,13:12:06,171182179.9389701
安值test,13:12:07,171182179.9389701
安值test,13:12:08,171183230.5789701
安值test,13:12:10,171183230.5789701
安值test,13:12:11,171184507.6189701
安值test,13:12:12,171184507.6189701
安值test,13:12:14,171184507.6189701
安值test,13:12:15,171183230.5789701
安值test,13:12:16,171183230.5789701
安值test,13:12:17,171184540.09897012
安值test,13:12:19,171184540.09897012
安值test,13:12:20,171183520.83897012
安值test,13:12:21,171183520.83897012
安值test,13:12:23,171183520.83897012
安值test,13:12:24,171183512.75897008
安值test,13:12:25,171183512.75897008
安值test,13:12:26,171183454.4889701
安值test,13:12:28,171183454.4889701
安值test,13:12:29,171183405.87897012
安值test,13:12:30,171183405.87897012
安值test,13:12:32,171183405.87897012
安值test,13:12:33,171183454.48897013
安值test,13:12:34,171183454.48897013
安值test,13:12:35,171184263.12897012
安值test,13:12:37,171184263.12897012
安值test,13:12:38,171183163.4589701
安值test,13:12:39,171183163.4589701
安值test,13:12:40,171183163.4589701
安值test,13:12:42,171183167.3989701
安值test,13:12:43,171183167.3989701
安值test,13:12:44,171183163.4589701
安值test,13:12:46,171183163.4589701
安值test,13:12:47,171181879.8089701
安值test,13:12:48,171181879.8089701
安值test,13:12:49,171181879.8089701
安值test,13:12:51,171183113.1389701
安值test,13:12:52,171183113.1389701
安值test,13:12:53,171184228.9289701
安值test,13:12:54,171184228.9289701
安值test,13:12:56,171184228.9289701
安值test,13:12:57,171183113.1389701
安值test,13:12:58,171183113.1389701
安值test,13:13:00,171183137.7689701
安值test,13:13:01,171183137.7689701
安值test,13:13:02,171182790.0489701
安值test,13:13:04,171182790.0489701
安值test,13:13:05,171183842.19897008
安值test,13:13:06,171183842.19897008
安值test,13:13:07,171183842.19897008
安值test,13:13:09,171183836.50897008
安值test,13:13:10,171183836.50897008
安值test,13:13:11,171183762.6789701
安值test,13:13:12,171183762.6789701
安值test,13:13:14,171183762.6789701
安值test,13:13:15,171183836.50897008
安值test,13:13:16,171183836.50897008
安值test,13:13:18,171181660.87897012
安值test,13:13:19,171181660.87897012
安值test,13:13:20,171182435.62897012
安值test,13:13:21,171182435.62897012
安值test,13:13:23,171182132.34897012
安值test,13:13:24,171182132.34897012
安值test,13:13:25,171182132.34897012
安值test,13:13:27,171181236.80897012
安值test,13:13:28,171181236.80897012
安值test,13:13:29,171181164.04897013
安值test,13:13:30,171181164.04897013
安值test,13:13:32,171181164.04897013
安值test,13:13:33,171181236.80897012
安值test,13:13:34,171181236.80897012
安值test,13:13:35,171181224.08897012
安值test,13:13:37,171181224.08897012
安值test,13:13:38,171179840.09897012
安值test,13:13:39,171179840.09897012
安值test,13:13:40,171179840.09897012
安值test,13:13:42,171179024.08897012
安值test,13:13:43,171179024.08897012
安值test,13:13:44,171179840.09897012
安值test,13:13:46,171179840.09897012
安值test,13:13:47,171179816.98897013
安值test,13:13:48,171179816.98897013
安值test,13:13:49,171179816.98897013
安值test,13:13:51,171178774.53897014
安值test,13:13:52,171178774.53897014
安值test,13:13:53,171179843.78897014
安值test,13:13:55,171179843.78897014
安值test,13:13:56,171178774.53897014
安值test,13:13:57,171178774.53897014
安值test,13:13:58,171178774.53897014
安值test,13:14:00,171179032.00897014
安值test,13:14:01,171179032.00897014
安值test,13:14:09,171178748.76897013
安值test,13:14:10,171178748.76897013
安值test,13:14:11,171179476.77897012
安值test,13:14:13,171179476.77897012
安值test,13:14:14,171178748.76897013
安值test,13:14:15,171178748.76897013
安值test,13:14:16,171178748.76897013
安值test,13:14:18,171179657.03897014
安值test,13:14:19,171179657.03897014
安值test,13:14:20,171178405.71897015
安值test,13:14:22,171178405.71897015
