日期,净值,单位净值,份额,是否估值,净值1,净值1[结],单位净值1,盈亏1,净值2,净值2[结],单位净值2,盈亏2,净值3,净值3[结],单位净值3,盈亏3,盈亏3[收],产品名
2025-04-08,171178405.71897015,,,,,,,,,,,,,,,,,安值test
2025-04-07,170204479.4623045,,,,,,,,,,,,,,,,,安值test
2025-04-04,170252924.43230364,,,,,,,,,,,,,,,,,安值test
2025-04-03,170252924.43230364,,,,,,,,,,,,,,,,,安值test
2025-04-02,170251416.07896996,,,,,,,,,,,,,,,,,安值test
2025-04-01,170610540.47230318,,,,,,,,,,,,,,,,,安值test
2025-03-31,170427110.98563656,,,,,,,,,,,,,,,,,安值test
2025-03-28,170567214.2056363,,,,,,,,,,,,,,,,,安值test
2025-03-27,170758780.08,17.0759,10000000.0,否,170758780.08,170758780.08,17.0759,84221.45,-,-,-,-,176067091.78,176067091.78,17.6067,5309.73,84221.45,安值test
2025-03-26,170674558.63,17.0675,10000000.0,否,170674558.63,170674558.63,17.0675,-108051.21,-,-,-,-,176061782.05,176021782.05,17.6062,67948.79,-108051.21,安值test
2025-03-25,170782609.85,17.0783,10000000.0,否,170782609.85,170782609.85,17.0783,-79.14,-,-,-,-,176032744.98,176073900.38,17.6033,-97167.42,176656.01,安值test
2025-03-21,170602197.52,17.0602,10000000.0,否,170602197.52,170602197.52,17.0602,-2237.61,-,-,-,-,176073979.52,175983979.52,17.6074,151585.82,-2237.61,安值test
2025-03-20,170604435.13,17.0604,10000000.0,否,170604435.13,170604435.13,17.0604,-352.15,-,-,-,-,176009128.85,175983217.14,17.6009,22559.57,-53440.43,安值test
2025-03-18,170629052.14,17.0629,10000000.0,否,170629052.14,170629052.14,17.0629,30380.81,-,-,-,-,175983569.29,176009569.29,17.5984,-49619.19,30380.81,安值test
2025-03-17,170598671.33,17.0599,10000000.0,否,170598671.33,170598671.33,17.0599,-179939.95,-,-,-,-,176006100.20,175992100.20,17.6006,50236.62,-179939.95,安值test
2025-03-14,170778611.28,17.0779,10000000.0,否,170778611.28,170778611.28,17.0779,34198.61,-,-,-,-,175968775.30,176038818.88,17.5969,-169066.24,121110.33,安值test
2025-03-12,170598632.82,17.0599,10000000.0,否,170598632.82,170598632.82,17.0599,520.23,-,-,-,-,176004620.27,75941685.21,17.6005,87431.95,520.23,安值test
2025-03-04,70571883.80,7.0572,10000000.0,否,70571883.80,70571883.80,7.0572,-1250.42,-,-,-,-,75941164.98,75940930.98,7.5941,-4396.14,-1484.42,安值test
2025-03-03,70573134.22,7.0573,10000000.0,否,70573134.22,70573134.22,7.0573,150449.09,-,-,-,-,75945327.12,75943327.12,7.5945,625.66,150449.09,安值test
2025-02-28,70422685.13,7.0423,10000000.0,否,70422685.13,70422685.13,7.0423,-18418.59,-,-,-,-,75945613.18,75867613.18,7.5946,135404.84,-18418.59,安值test
2025-02-27,70441103.72,7.0441,10000000.0,否,70441103.72,70441103.72,7.0441,-86135.27,-,-,-,-,75884943.49,75884943.49,7.5885,1864.73,-86135.27,安值test
2025-02-26,70527239.00,7.0527,10000000.0,否,70527239.00,70527239.00,7.0527,153973.84,-,-,-,-,75881990.48,75925990.48,7.5882,-74026.16,153973.84,安值test
2025-02-25,70373265.16,7.0373,10000000.0,否,70373265.16,70373265.16,7.0373,30190.06,-,-,-,-,75910928.36,75840928.36,7.5911,122190.06,30190.06,安值test
2025-02-24,70343075.10,7.0343,10000000.0,否,70343075.10,70343075.10,7.0343,-25848.78,-,-,-,-,75857650.02,75833650.02,7.5858,44327.79,-25848.78,安值test
2025-02-21,70368923.88,7.0369,10000000.0,否,70368923.88,70368923.88,7.0369,-37115.74,-,-,-,-,75836233.95,75846233.95,7.5836,-27292.31,-37115.74,安值test
2025-02-20,70406039.63,7.0406,10000000.0,否,70406039.63,70406039.63,7.0406,20980.66,-,-,-,-,75850261.41,75866261.41,7.5850,-43019.34,20980.66,安值test
2025-02-19,70385058.97,7.0385,10000000.0,否,70385058.97,70385058.97,7.0385,221806.28,-,-,-,-,75876192.47,75860192.47,7.5876,33806.28,221806.28,安值test
2025-02-18,70163252.69,7.0163,10000000.0,否,70163252.69,70163252.69,7.0163,-5745412.28,-,-,-,-,75857297.91,75747297.91,7.5857,234587.72,-5745412.28,安值test
2025-02-17,75908664.98,7.5909,10000000.0,否,75908664.98,75908664.98,7.5909,4886098.5,-,-,-,-,75731621.91,75873621.91,7.5732,-5773193.46,-589901.5,安值test
2025-02-14,71022566.47,7.1023,10000000.0,否,71022566.47,71022566.47,7.1023,448244.55,-,-,-,-,75885727.09,70574321.92,7.5886,-577796.32,0.0,安值test
2025-02-13,70574321.92,7.0574,10000000.0,否,70574321.92,70574321.92,7.0574,47150.38,-,-,-,-,0.00,70515410.20,0.0000,0.0,0.0,安值test
2025-02-12,70527171.54,7.0527,10000000.0,否,70527171.54,70527171.54,7.0527,103194.5,-,-,-,-,0.00,70452259.83,0.0000,0.0,0.0,安值test
